"COUNTRY,""Country"",""VAR"",""Variable"",""POPULATION"",""Population"",""TIME"",""Time"",""Value"",""Flag Codes"",""Flags"""
"AUS,""Australia"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2012"",""2012"",139870,,"
"AUS,""Australia"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",164058,,"
"AUS,""Australia"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2018"",""2018"",216351,,"
"AUS,""Australia"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2012"",""2012"",130092,,"
"AUS,""Australia"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",144916,,"
"AUS,""Australia"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2018"",""2018"",184209,,"
"AUS,""Australia"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2012"",""2012"",595820,,"
"AUS,""Australia"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",649993,,"
"AUS,""Australia"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2018"",""2018"",811432,,"
"AUS,""Australia"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2012"",""2012"",231744.41,,"
"AUS,""Australia"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2014"",""2014"",251246.91,,"
"AUS,""Australia"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2018"",""2018"",312639,,"
"AUS,""Australia"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2012"",""2012"",586042,,"
"AUS,""Australia"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",630852,,"
"AUS,""Australia"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2018"",""2018"",779291,,"
"AUS,""Australia"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2012"",""2012"",1.6323839,,"
"AUS,""Australia"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2014"",""2014"",1.710508,,"
"AUS,""Australia"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2018"",""2018"",1.869633,,"
"AUS,""Australia"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2012"",""2012"",0.21956998,,"
"AUS,""Australia"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2014"",""2014"",0.2234,,"
"AUS,""Australia"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2018"",""2018"",0.23899999,,"
"AUS,""Australia"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2012"",""2012"",0.96165001,,"
"AUS,""Australia"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2014"",""2014"",0.91010004,,"
"AUS,""Australia"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2018"",""2018"",1.133,,"
"AUS,""Australia"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2012"",""2012"",7.6946998,,"
"AUS,""Australia"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2014"",""2014"",7.284183,,"
"AUS,""Australia"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2018"",""2018"",9.6798735,,"
"AUS,""Australia"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2012"",""2012"",72.261032,,"
"AUS,""Australia"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2014"",""2014"",71.765259,,"
"AUS,""Australia"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2018"",""2018"",72.764549,,"
"AUS,""Australia"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2012"",""2012"",24.94035,,"
"AUS,""Australia"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2014"",""2014"",26.465231,,"
"AUS,""Australia"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2018"",""2018"",29.00338,,"
"AUS,""Australia"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2012"",""2012"",13.27202,,"
"AUS,""Australia"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2014"",""2014"",14.99708,,"
"AUS,""Australia"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2018"",""2018"",16.13155,,"
"AUS,""Australia"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2012"",""2012"",44.909752,,"
"AUS,""Australia"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2014"",""2014"",46.465981,,"
"AUS,""Australia"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2018"",""2018"",48.51519,,"
"AUS,""Australia"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2012"",""2012"",32.17173,,"
"AUS,""Australia"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2014"",""2014"",33.51318,,"
"AUS,""Australia"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2018"",""2018"",35.117851,,"
"AUT,""Austria"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",115163,,"
"AUT,""Austria"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",86615,,"
"AUT,""Austria"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",84921,,"
"AUT,""Austria"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",16746,,"
"AUT,""Austria"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",17243,,"
"AUT,""Austria"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",18766,,"
"AUT,""Austria"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",265033,,"
"AUT,""Austria"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",258414,,"
"AUT,""Austria"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",250272,,"
"AUT,""Austria"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2011"",""2011"",124685.8,,"
"AUT,""Austria"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2014"",""2014"",120788.2,,"
"AUT,""Austria"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2017"",""2017"",117172.6,,"
"AUT,""Austria"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",166615,,"
"AUT,""Austria"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",189042,,"
"AUT,""Austria"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",184117,,"
"AUT,""Austria"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2011"",""2011"",3.4669759,,"
"AUT,""Austria"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2014"",""2014"",3.007822,,"
"AUT,""Austria"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2017"",""2017"",3.0269589,,"
"AUT,""Austria"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2011"",""2011"",0.16700001,,"
"AUT,""Austria"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2014"",""2014"",0.20100001,,"
"AUT,""Austria"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2017"",""2017"",0.17,,"
"AUT,""Austria"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2011"",""2011"",0.35599998,,"
"AUT,""Austria"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2014"",""2014"",0.32700002,,"
"AUT,""Austria"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2017"",""2017"",0.34,,"
"AUT,""Austria"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2011"",""2011"",18.808571,,"
